,text,Does the sentence describe a personal reflection or thought?,Does the sentence contain a proper noun?,Does the sentence describe a physical action?,Does the sentence describe a personal or social interaction that leads to a change or revelation?,Does the sentence involve the mention of a specific object or item?,Does the sentence involve a description of physical environment or setting?,Does the sentence describe a relationship between people?,Does the sentence mention a specific location?,Is time mentioned in the input?,Is the sentence abstract rather than concrete?,Does the sentence express the narrator's opinion or judgment about an event or character?,Is the input related to a specific industry or profession?,Does the sentence include dialogue?,Does the sentence describe a visual experience or scene?,Does the input involve planning or organizing?,Does the sentence involve spatial reasoning?,Does the sentence involve an expression of personal values or beliefs?,Does the sentence contain a negation?,Does the sentence describe a sensory experience?,Does the sentence include technical or specialized terminology?,Does the input contain a number?,Does the sentence contain a cultural reference?,Does the text describe a mode of communication?,Does the input include a comparison or metaphor?,Does the sentence express a sense of belonging or connection to a place or community?,Does the sentence describe a specific sensation or feeling?,Does the text include a planning or decision-making process?,Does the sentence include a personal anecdote or story?,Does the sentence involve a discussion about personal or social values?,Does the text describe a journey?,Does the input contain a measurement?,Does the sentence describe a physical sensation?,Does the sentence include a direct speech quotation?,"Is the sentence reflective, involving self-analysis or introspection?",Does the input describe a specific texture or sensation?
487,deep deep and she pulls out a pack of matches that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,deep and she pulls out a pack of matches that had,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,and she pulls out a pack of matches that had been,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,she pulls out a pack of matches that had been laundered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,pulls out a pack of matches that had been laundered at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,out a pack of matches that had been laundered at least,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,a pack of matches that had been laundered at least once,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,pack of matches that had been laundered at least once ukgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,of matches that had been laundered at least once ukgh we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,matches that had been laundered at least once ukgh we open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,that had been laundered at least once ukgh we open it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,had been laundered at least once ukgh we open it up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,been laundered at least once ukgh we open it up and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,laundered at least once ukgh we open it up and there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,at least once ukgh we open it up and there is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,least once ukgh we open it up and there is one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,once ukgh we open it up and there is one match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,ukgh we open it up and there is one match inside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,we open it up and there is one match inside ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,open it up and there is one match inside ok oh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,it up and there is one match inside ok oh my,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,up and there is one match inside ok oh my god,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,and there is one match inside ok oh my god this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,there is one match inside ok oh my god this takes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,is one match inside ok oh my god this takes on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,one match inside ok oh my god this takes on it's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,match inside ok oh my god this takes on it's like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,inside ok oh my god this takes on it's like nasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,ok oh my god this takes on it's like nasa now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,oh my god this takes on it's like nasa now we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,my god this takes on it's like nasa now we got,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,god this takes on it's like nasa now we got to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,this takes on it's like nasa now we got to like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,takes on it's like nasa now we got to like oh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,on it's like nasa now we got to like oh how,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,it's like nasa now we got to like oh how are,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,like nasa now we got to like oh how are we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,nasa now we got to like oh how are we gonna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,now we got to like oh how are we gonna do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,we got to like oh how are we gonna do it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,got to like oh how are we gonna do it ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,to like oh how are we gonna do it ok and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,like oh how are we gonna do it ok and we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,oh how are we gonna do it ok and we we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,how are we gonna do it ok and we we hunker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,are we gonna do it ok and we we hunker down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,we gonna do it ok and we we hunker down we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,gonna do it ok and we we hunker down we crouch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,do it ok and we we hunker down we crouch on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,it ok and we we hunker down we crouch on the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,ok and we we hunker down we crouch on the ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,and we we hunker down we crouch on the ground and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,we we hunker down we crouch on the ground and where's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,we hunker down we crouch on the ground and where's the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,hunker down we crouch on the ground and where's the wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,down we crouch on the ground and where's the wind coming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,we crouch on the ground and where's the wind coming from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,crouch on the ground and where's the wind coming from we're,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,on the ground and where's the wind coming from we're stopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,the ground and where's the wind coming from we're stopping i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,ground and where's the wind coming from we're stopping i take,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,and where's the wind coming from we're stopping i take out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,where's the wind coming from we're stopping i take out my,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,the wind coming from we're stopping i take out my cigarettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,wind coming from we're stopping i take out my cigarettes let's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,coming from we're stopping i take out my cigarettes let's get,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,from we're stopping i take out my cigarettes let's get the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,we're stopping i take out my cigarettes let's get the cigarettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,stopping i take out my cigarettes let's get the cigarettes ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,i take out my cigarettes let's get the cigarettes ready oh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,take out my cigarettes let's get the cigarettes ready oh my,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,out my cigarettes let's get the cigarettes ready oh my brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,my cigarettes let's get the cigarettes ready oh my brand she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,cigarettes let's get the cigarettes ready oh my brand she says,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,let's get the cigarettes ready oh my brand she says not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,get the cigarettes ready oh my brand she says not surprising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,the cigarettes ready oh my brand she says not surprising and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,cigarettes ready oh my brand she says not surprising and we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,ready oh my brand she says not surprising and we both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,oh my brand she says not surprising and we both have,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,my brand she says not surprising and we both have our,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,brand she says not surprising and we both have our cigarettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,she says not surprising and we both have our cigarettes at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,says not surprising and we both have our cigarettes at the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,not surprising and we both have our cigarettes at the ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,surprising and we both have our cigarettes at the ready she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,and we both have our cigarettes at the ready she strikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,we both have our cigarettes at the ready she strikes once,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,both have our cigarettes at the ready she strikes once nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,have our cigarettes at the ready she strikes once nothing she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,our cigarettes at the ready she strikes once nothing she strikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,cigarettes at the ready she strikes once nothing she strikes again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,at the ready she strikes once nothing she strikes again yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,the ready she strikes once nothing she strikes again yes fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,ready she strikes once nothing she strikes again yes fire puff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,she strikes once nothing she strikes again yes fire puff inhale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,strikes once nothing she strikes again yes fire puff inhale mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,once nothing she strikes again yes fire puff inhale mm sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,nothing she strikes again yes fire puff inhale mm sweet kiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,she strikes again yes fire puff inhale mm sweet kiss of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,strikes again yes fire puff inhale mm sweet kiss of that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,again yes fire puff inhale mm sweet kiss of that cigarette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,yes fire puff inhale mm sweet kiss of that cigarette and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,fire puff inhale mm sweet kiss of that cigarette and we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,puff inhale mm sweet kiss of that cigarette and we sit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,inhale mm sweet kiss of that cigarette and we sit there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,mm sweet kiss of that cigarette and we sit there and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,sweet kiss of that cigarette and we sit there and we're,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,kiss of that cigarette and we sit there and we're loving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,of that cigarette and we sit there and we're loving the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,that cigarette and we sit there and we're loving the nicotine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,cigarette and we sit there and we're loving the nicotine and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,and we sit there and we're loving the nicotine and we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,we sit there and we're loving the nicotine and we both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,sit there and we're loving the nicotine and we both need,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,there and we're loving the nicotine and we both need this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,and we're loving the nicotine and we both need this right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,we're loving the nicotine and we both need this right now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,loving the nicotine and we both need this right now i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,the nicotine and we both need this right now i can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,nicotine and we both need this right now i can tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,and we both need this right now i can tell the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,we both need this right now i can tell the night's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,both need this right now i can tell the night's been,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,need this right now i can tell the night's been tough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,this right now i can tell the night's been tough immediately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,right now i can tell the night's been tough immediately we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,now i can tell the night's been tough immediately we start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,i can tell the night's been tough immediately we start to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,can tell the night's been tough immediately we start to reminisce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,tell the night's been tough immediately we start to reminisce about,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,the night's been tough immediately we start to reminisce about our,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,night's been tough immediately we start to reminisce about our thirty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,been tough immediately we start to reminisce about our thirty second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,tough immediately we start to reminisce about our thirty second relationship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,immediately we start to reminisce about our thirty second relationship i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,we start to reminisce about our thirty second relationship i didn't,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,start to reminisce about our thirty second relationship i didn't think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,to reminisce about our thirty second relationship i didn't think that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,reminisce about our thirty second relationship i didn't think that was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,about our thirty second relationship i didn't think that was gonna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,our thirty second relationship i didn't think that was gonna happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,thirty second relationship i didn't think that was gonna happen me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,second relationship i didn't think that was gonna happen me neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,relationship i didn't think that was gonna happen me neither oh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,i didn't think that was gonna happen me neither oh man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,didn't think that was gonna happen me neither oh man that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,think that was gonna happen me neither oh man that was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,that was gonna happen me neither oh man that was close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,was gonna happen me neither oh man that was close oh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,gonna happen me neither oh man that was close oh i'm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,happen me neither oh man that was close oh i'm so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,me neither oh man that was close oh i'm so lucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,neither oh man that was close oh i'm so lucky i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,oh man that was close oh i'm so lucky i saw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,man that was close oh i'm so lucky i saw you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,that was close oh i'm so lucky i saw you yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,was close oh i'm so lucky i saw you yeah then,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,close oh i'm so lucky i saw you yeah then she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,oh i'm so lucky i saw you yeah then she surprises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,i'm so lucky i saw you yeah then she surprises me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,so lucky i saw you yeah then she surprises me by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,lucky i saw you yeah then she surprises me by saying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,i saw you yeah then she surprises me by saying what,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,saw you yeah then she surprises me by saying what was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,you yeah then she surprises me by saying what was the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,yeah then she surprises me by saying what was the fight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,then she surprises me by saying what was the fight about,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,she surprises me by saying what was the fight about and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,surprises me by saying what was the fight about and i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,me by saying what was the fight about and i say,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,by saying what was the fight about and i say wha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,saying what was the fight about and i say wha what,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,what was the fight about and i say wha what are,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,was the fight about and i say wha what are they,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,the fight about and i say wha what are they all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,fight about and i say wha what are they all about,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,about and i say wha what are they all about and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,and i say wha what are they all about and she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,i say wha what are they all about and she said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,say wha what are they all about and she said i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,wha what are they all about and she said i know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,what are they all about and she said i know what,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,are they all about and she said i know what you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,they all about and she said i know what you mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,all about and she said i know what you mean she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,about and she said i know what you mean she said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,and she said i know what you mean she said was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,she said i know what you mean she said was it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,said i know what you mean she said was it a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,i know what you mean she said was it a bad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,know what you mean she said was it a bad one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,what you mean she said was it a bad one and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,you mean she said was it a bad one and and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,mean she said was it a bad one and and i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,she said was it a bad one and and i said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,said was it a bad one and and i said you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,was it a bad one and and i said you know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,it a bad one and and i said you know like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,a bad one and and i said you know like medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,bad one and and i said you know like medium she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,one and and i said you know like medium she said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,and and i said you know like medium she said oh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,and i said you know like medium she said oh and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,i said you know like medium she said oh and we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,said you know like medium she said oh and we start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,you know like medium she said oh and we start to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,know like medium she said oh and we start to trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,like medium she said oh and we start to trade stories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,medium she said oh and we start to trade stories about,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,she said oh and we start to trade stories about our,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,said oh and we start to trade stories about our lives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,oh and we start to trade stories about our lives we're,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,and we start to trade stories about our lives we're both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,we start to trade stories about our lives we're both from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,start to trade stories about our lives we're both from up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,to trade stories about our lives we're both from up north,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,trade stories about our lives we're both from up north we're,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,stories about our lives we're both from up north we're both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,about our lives we're both from up north we're both kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,our lives we're both from up north we're both kind of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,lives we're both from up north we're both kind of newish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,we're both from up north we're both kind of newish to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,both from up north we're both kind of newish to the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,from up north we're both kind of newish to the neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,up north we're both kind of newish to the neighborhood this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,north we're both kind of newish to the neighborhood this is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,we're both kind of newish to the neighborhood this is in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,both kind of newish to the neighborhood this is in florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,kind of newish to the neighborhood this is in florida we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,of newish to the neighborhood this is in florida we both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,newish to the neighborhood this is in florida we both went,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,to the neighborhood this is in florida we both went to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,the neighborhood this is in florida we both went to college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,neighborhood this is in florida we both went to college not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,this is in florida we both went to college not great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,is in florida we both went to college not great colleges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,in florida we both went to college not great colleges but,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,florida we both went to college not great colleges but man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,we both went to college not great colleges but man we,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,both went to college not great colleges but man we graduated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,went to college not great colleges but man we graduated and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,to college not great colleges but man we graduated and i'm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,college not great colleges but man we graduated and i'm actually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,not great colleges but man we graduated and i'm actually finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
